data,sequence length,k,total k-mers,unique k-mers,positive queries,negative queries,number of buckets,insert time,number of failed inserts,lookup time,number of false negatives,false positive rate,remove time,number of failed removes,seed,memory consumption
ecoli,4641652,10,4641643,898115,10000,10000,236346,0.136197,0,0.006636,0,0.000100,0.131426,0,42,2097152
ecoli,4641652,20,4641633,4561265,10000,10000,1200332,1.278920,0,0.011492,0,0.000000,1.306419,0,42,16777216
ecoli,4641652,50,4641603,4578840,10000,10000,1204957,1.518628,0,0.011575,0,0.000100,1.435473,0,42,16777216
ecoli,4641652,100,4641553,4588610,10000,10000,1207528,1.871665,0,0.013143,0,0.000000,1.823934,0,42,16777216
ecoli,4641652,200,4641453,4598333,10000,10000,1210087,2.583135,0,0.016286,0,0.000300,2.547954,0,42,16777216
artificial_len1000,1000,10,991,991,991,10000,260,0.000334,0,0.003565,0,0.000000,0.000170,0,42,4096
artificial_len1000,1000,20,981,981,981,10000,258,0.000247,0,0.004870,0,0.000100,0.000223,0,42,4096
artificial_len1000,1000,50,951,951,951,10000,250,0.000310,0,0.005341,0,0.000300,0.000268,0,42,2048
artificial_len1000,1000,100,901,901,901,10000,237,0.000362,0,0.006155,0,0.000100,0.000344,0,42,2048
artificial_len1000,1000,200,801,801,801,10000,210,0.000429,0,0.007713,0,0.000000,0.000387,0,42,2048
artificial_len2000,2000,10,1991,1989,1989,10000,523,0.000315,0,0.003879,0,0.000000,0.000297,0,42,8192
artificial_len2000,2000,20,1981,1981,1981,10000,521,0.000429,0,0.005326,0,0.000000,0.000415,0,42,8192
artificial_len2000,2000,50,1951,1951,1951,10000,513,0.000512,0,0.005851,0,0.000000,0.000478,0,42,8192
artificial_len2000,2000,100,1901,1901,1901,10000,500,0.000705,0,0.006645,0,0.000100,0.000626,0,42,4096
artificial_len2000,2000,200,1801,1801,1801,10000,473,0.000876,0,0.008407,0,0.000100,0.000823,0,42,4096
artificial_len5000,5000,10,4991,4984,4984,10000,1311,0.000734,0,0.004857,0,0.000000,0.000720,0,42,16384
