data,sequence length,k,total k-mers,unique k-mers,positive queries,negative queries,number of buckets,insert time,number of failed inserts,lookup time,number of false negatives,false positive rate,remove time,number of failed removes,seed,memory consumption
ecoli,4641652,10,4641643,898115,10000,10000,236346,0.138305,0,0.005283,0,0.000200,0.113268,0,seed: 42,memory consumption: 1843216
ecoli,4641652,20,4641633,4561265,10000,10000,1200332,1.142948,0,0.008894,0,0.000200,0.796126,0,seed: 42,memory consumption: 8970256
ecoli,4641652,50,4641603,4578840,10000,10000,1204957,1.307970,0,0.009054,0,0.000000,0.965862,0,seed: 42,memory consumption: 8970256
ecoli,4641652,100,4641553,4588610,10000,10000,1207528,1.778247,0,0.010715,0,0.000100,1.330180,0,seed: 42,memory consumption: 8970256
ecoli,4641652,200,4641453,4598333,10000,10000,1210087,2.108278,0,0.012830,0,0.000200,1.858872,0,seed: 42,memory consumption: 9093136
artificial_len1000,1000,10,991,991,991,10000,260,0.000263,0,0.002832,0,0.000200,0.000144,0,seed: 42,memory consumption: 2416
artificial_len1000,1000,20,981,981,981,10000,258,0.000200,0,0.003555,0,0.000100,0.000152,0,seed: 42,memory consumption: 1936
artificial_len1000,1000,50,951,951,951,10000,250,0.000221,0,0.003970,0,0.000100,0.000183,0,seed: 42,memory consumption: 1936
artificial_len1000,1000,100,901,901,901,10000,237,0.000263,0,0.004511,0,0.000100,0.000270,0,seed: 42,memory consumption: 1936
artificial_len1000,1000,200,801,801,801,10000,210,0.000312,0,0.005717,0,0.000100,0.000287,0,seed: 42,memory consumption: 1936
artificial_len2000,2000,10,1991,1989,1989,10000,523,0.000312,0,0.003081,0,0.000100,0.000273,0,seed: 42,memory consumption: 5776
artificial_len2000,2000,20,1981,1981,1981,10000,521,0.000321,0,0.003993,0,0.000100,0.000275,0,seed: 42,memory consumption: 4816
artificial_len2000,2000,50,1951,1951,1951,10000,513,0.000454,0,0.004336,0,0.000100,0.000331,0,seed: 42,memory consumption: 3856
artificial_len2000,2000,100,1901,1901,1901,10000,500,0.000492,0,0.004848,0,0.000200,0.000418,0,seed: 42,memory consumption: 3856
artificial_len2000,2000,200,1801,1801,1801,10000,473,0.000651,0,0.006221,0,0.000100,0.000601,0,seed: 42,memory consumption: 3856
artificial_len5000,5000,10,4991,4984,4984,10000,1311,0.000764,0,0.003874,0,0.000100,0.000629,0,seed: 42,memory consumption: 11536
artificial_len5000,5000,20,4981,4981,4981,10000,1310,0.000764,0,0.005017,0,0.000100,0.000652,0,seed: 42,memory consumption: 11536
artificial_len5000,5000,50,4951,4951,4951,10000,1302,0.000909,0,0.005479,0,0.000400,0.000765,0,seed: 42,memory consumption: 11536
artificial_len5000,5000,100,4901,4901,4901,10000,1289,0.001132,0,0.006037,0,0.000100,0.000982,0,seed: 42,memory consumption: 11536
artificial_len5000,5000,200,4801,4801,4801,10000,1263,0.001610,0,0.007770,0,0.000100,0.001514,0,seed: 42,memory consumption: 11536
artificial_len10000,10000,10,9991,9940,9940,10000,2615,0.001415,0,0.005095,0,0.000000,0.001208,0,seed: 42,memory consumption: 23056
artificial_len10000,10000,20,9981,9981,9981,10000,2626,0.001486,0,0.006597,0,0.000100,0.001222,0,seed: 42,memory consumption: 23056
artificial_len10000,10000,50,9951,9951,9951,10000,2618,0.001776,0,0.007274,0,0.000100,0.001515,0,seed: 42,memory consumption: 23056
artificial_len10000,10000,100,9901,9901,9901,10000,2605,0.002326,0,0.008083,0,0.000100,0.002031,0,seed: 42,memory consumption: 23056
artificial_len10000,10000,200,9801,9801,9801,10000,2579,0.003282,0,0.010219,0,0.000100,0.002993,0,seed: 42,memory consumption: 23056
artificial_len50000,50000,10,49991,48835,10000,10000,12851,0.006611,0,0.005110,0,0.000000,0.005663,0,seed: 42,memory consumption: 122896
artificial_len50000,50000,20,49981,49981,10000,10000,13152,0.007189,0,0.006529,0,0.000000,0.006072,0,seed: 42,memory consumption: 122896
artificial_len50000,50000,50,49951,49951,10000,10000,13145,0.008777,0,0.007296,0,0.000200,0.007628,0,seed: 42,memory consumption: 122896
artificial_len50000,50000,100,49901,49901,10000,10000,13131,0.011318,0,0.008185,0,0.000000,0.010055,0,seed: 42,memory consumption: 122896
artificial_len50000,50000,200,49801,49801,10000,10000,13105,0.016378,0,0.011331,0,0.000200,0.015404,0,seed: 42,memory consumption: 122896
artificial_len100000,100000,10,99991,95322,10000,10000,25084,0.013036,0,0.005152,0,0.000000,0.011151,0,seed: 42,memory consumption: 245776
artificial_len100000,100000,20,99981,99981,10000,10000,26310,0.014604,0,0.006651,0,0.000200,0.012581,0,seed: 42,memory consumption: 245776
artificial_len100000,100000,50,99951,99951,10000,10000,26302,0.017572,0,0.007394,0,0.000100,0.015671,0,seed: 42,memory consumption: 245776
artificial_len100000,100000,100,99901,99901,10000,10000,26289,0.022570,0,0.008155,0,0.000200,0.020995,0,seed: 42,memory consumption: 245776
artificial_len100000,100000,200,99801,99801,10000,10000,26263,0.032950,0,0.010502,0,0.000000,0.031393,0,seed: 42,memory consumption: 245776
artificial_len500000,500000,10,499991,397754,10000,10000,104672,0.061610,0,0.005227,0,0.000200,0.048429,0,seed: 42,memory consumption: 798736
artificial_len500000,500000,20,499981,499981,10000,10000,131573,0.091553,0,0.007009,0,0.000400,0.064606,0,seed: 42,memory consumption: 983056
